listingId,title,sourceUrl,uscehubScreenshotPath,officialSourceScreenshotPath,applicationScreenshotPath,jsonSidecarPath,verdict,recommendedAction,capturedAt,errorIfAny
  - waiting for fonts to load...

cmn2111r6001ysb11czxooaqe,"Loma Linda University Medical Center","https://lluh.org/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111r6001ysb11czxooaqe-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2111r6001ysb11czxooaqe-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2111r6001ysb11czxooaqe-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.426Z,
cmn2112yq004qsb11hveu7mqi,"Mercy Hospital St. Louis","https://www.mercy.net/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112yq004qsb11hveu7mqi-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112yq004qsb11hveu7mqi-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112yq004qsb11hveu7mqi-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.426Z,
cmn2114xq009csb115qvu2i90,"Flushing Hospital Medical Center","https://www.flushinghospital.org/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2114xq009csb115qvu2i90-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2114xq009csb115qvu2i90-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2114xq009csb115qvu2i90-20260502.json,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,2026-05-02T03:35:56.427Z,
cmo33870x003b1ny994cg6cjp,"UW Madison International Observership in Urology","https://urology.wisc.edu/education-and-training/international-observership-in-urology/",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo33870x003b1ny994cg6cjp-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo33870x003b1ny994cg6cjp-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo33870x003b1ny994cg6cjp-20260502.json,PATH_HINTS_PROGRAM,KEEP_SOURCE,2026-05-02T03:35:56.427Z,
cmo3386to00311ny9vjdxoefc,"University of Utah Moran Eye International Observership","https://prod.ophthalmology.medicine.utah.edu/ophthalmology/education/fellowship/international-observership",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3386to00311ny9vjdxoefc-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo3386to00311ny9vjdxoefc-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3386to00311ny9vjdxoefc-20260502.json,PATH_HINTS_PROGRAM,KEEP_SOURCE,2026-05-02T03:35:56.428Z,
cmo33867o00271ny9ovpq1r1c,"University of Minnesota Pathology Observership","https://med.umn.edu/pathology/education-training/residency/observerships",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo33867o00271ny9ovpq1r1c-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo33867o00271ny9ovpq1r1c-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo33867o00271ny9ovpq1r1c-20260502.json,PATH_HINTS_PROGRAM,KEEP_SOURCE,2026-05-02T03:35:56.430Z,
cmo34f3ta000p1nxxugaetc8m,"University of Chicago Pritzker Visiting Students Program","https://pritzker.uchicago.edu/academics/visiting-students",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f3ta000p1nxxugaetc8m-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo34f3ta000p1nxxugaetc8m-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo34f3ta000p1nxxugaetc8m-20260502.json,PATH_HINTS_PROGRAM,KEEP_SOURCE,2026-05-02T03:35:56.434Z,
cmo3385o6001h1ny9z7gkibwc,"Orlando Health Pediatric Neurosurgery Clinical Observership","https://www.orlandohealth.com/services-and-specialties/childrens-neuroscience-institute/education/pediatric-neurosurgery-clinical-observership-program",docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3385o6001h1ny9z7gkibwc-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmo3385o6001h1ny9z7gkibwc-20260502.png,,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmo3385o6001h1ny9z7gkibwc-20260502.json,PATH_HINTS_PROGRAM,KEEP_SOURCE,2026-05-02T03:35:56.439Z,
